i,Length_LCS,time
9690,2176,0.284000
9700,2185,0.394000
9710,2194,0.279000
9720,2207,0.396000
9730,2185,0.406000
9740,2213,0.438000
9750,2194,0.383000
9760,2204,0.400000
9770,2218,0.390000
9780,2198,0.406000
9790,2197,0.293000
9800,2211,0.412000
9810,2213,0.436000
9820,2214,0.406000
9830,2211,0.385000
9840,2231,0.406000
9850,2218,0.323000
9860,2226,0.307000
9870,2220,0.423000
9880,2223,0.304000
9890,2230,0.408000
9900,2231,0.417000
9910,2246,0.312000
9920,2230,0.416000
9930,2248,0.429000
9940,2236,0.453000
9950,2240,0.421000
9960,2247,0.405000
9970,2245,0.423000
9980,2249,0.403000
9990,2249,0.416000
10000,2256,0.438000
10010,2277,0.342000
10020,2249,0.325000
10030,2245,0.398000
10040,2265,0.433000
10050,2265,0.412000
10060,2269,0.438000
10070,2255,0.453000
10080,2278,0.417000
10090,2280,0.424000
10100,2278,0.311000
10110,2276,0.385000
10120,2281,0.417000
10130,2282,0.354000
10140,2278,0.485000
10150,2289,0.426000
10160,2282,0.338000
10170,2282,0.435000
10180,2292,0.417000
10190,2286,0.437000
10200,2304,0.386000
10210,2298,0.435000
10220,2302,0.430000
10230,2304,0.413000
10240,2302,0.404000
10250,2308,0.366000
10260,2322,0.376000
10270,2313,0.437000
10280,2317,0.436000
10290,2335,0.438000
10300,2325,0.437000
10310,2327,0.432000
10320,2314,0.454000
10330,2328,0.441000
10340,2331,0.450000
10350,2360,0.429000
10360,2347,0.442000
10370,2349,0.322000
10380,2339,0.407000
10390,2363,0.514000
10400,2366,0.446000
10410,2347,0.443000
10420,2353,0.427000
10430,2352,0.336000
10440,2354,0.429000
10450,2360,0.514000
10460,2352,0.426000
10470,2352,0.464000
10480,2367,0.465000
10490,2362,0.340000
10500,2379,0.461000
10510,2351,0.477000
10520,2382,0.398000
10530,2372,0.460000
10540,2373,0.454000
10550,2380,0.414000
10560,2384,0.444000
10570,2381,0.352000
10580,2371,0.420000
10590,2399,0.393000
10600,2403,0.471000
10610,2396,0.339000
10620,2403,0.483000
10630,2406,0.480000
10640,2399,0.523000
10650,2390,0.433000
10660,2390,0.453000
10670,2410,0.478000
10680,2402,0.456000
10690,2418,0.440000
10700,2412,0.526000
10710,2427,0.473000
10720,2428,0.460000
10730,2413,0.484000
10740,2423,0.470000
10750,2419,0.361000
10760,2426,0.527000
10770,2427,0.472000
10780,2439,0.480000
10790,2441,0.474000
10800,2434,0.384000
10810,2427,0.437000
10820,2451,0.555000
10830,2451,0.496000
10840,2454,0.455000
10850,2435,0.369000
10860,2449,0.499000
10870,2434,0.469000
10880,2442,0.456000
10890,2472,0.545000
10900,2467,0.491000
10910,2456,0.352000
10920,2465,0.487000
10930,2471,0.499000
10940,2464,0.546000
10950,2481,0.501000
10960,2476,0.435000
10970,2485,0.371000
10980,2488,0.375000
10990,2478,0.594000
11000,2486,0.581000
11010,2483,0.470000
11020,2481,0.501000
11030,2492,0.501000
11040,2482,0.356000
11050,2479,0.517000
11060,2496,0.562000
11070,2500,0.489000
11080,2497,0.480000
11090,2491,0.459000
11100,2502,0.503000
11110,2515,0.451000
11120,2513,0.577000
11130,2521,0.517000
11140,2500,0.499000
11150,2513,0.502000
11160,2525,0.517000
11170,2526,0.510000
11180,2543,0.571000
11190,2530,0.487000
11200,2525,0.501000
11210,2528,0.433000
11220,2550,0.511000
11230,2544,0.516000
11240,2530,0.488000
11250,2542,0.505000
11260,2559,0.526000
11270,2551,0.526000
11280,2545,0.581000
11290,2541,0.641000
11300,2553,0.649000
11310,2535,0.529000
11320,2533,0.398000
11330,2540,0.525000
11340,2552,0.533000
11350,2563,0.543000
11360,2561,0.598000
11370,2559,0.469000
11380,2574,0.534000
11390,2570,0.534000
11400,2573,0.573000
11410,2582,0.481000
11420,2559,0.528000
11430,2589,0.533000
11440,2591,0.456000
11450,2597,0.500000
11460,2588,0.659000
11470,2595,0.651000
11480,2594,0.576000
11490,2595,0.455000
11500,2600,0.531000
11510,2603,0.542000
11520,2609,0.603000
11530,2608,0.648000
11540,2594,0.562000
11550,2600,0.563000
11560,2610,0.523000
11570,2612,0.558000
11580,2609,0.623000
11590,2620,0.503000
11600,2611,0.459000
11610,2628,0.405000
11620,2627,0.539000
11630,2631,0.557000
11640,2631,0.632000
11650,2630,0.581000
11660,2613,0.553000
11670,2632,0.418000
11680,2639,0.565000
11690,2645,0.579000
11700,2646,0.618000
11710,2630,0.547000
