i,Length_LCS,time
10930,2480,1.081
10940,2466,1.307
10950,2464,1.236
10960,2457,1.103
10970,2473,1.234
10980,2470,1.191
10990,2485,1.16
11000,2471,1.361
11010,2498,1.263
11020,2474,1.162
11030,2498,1.303
11040,2478,1.253
11050,2494,1.166
11060,2498,1.204
11070,2494,1.114
11080,2479,1.129
11090,2509,1.193
11100,2508,1.321
11110,2498,1.126
11120,2527,1.178
11130,2514,1.288
11140,2519,1.241
11150,2503,1.282
11160,2521,1.25
11170,2536,1.208
11180,2528,1.145
11190,2532,1.319
11200,2508,1.262
11210,2521,1.201
11220,2536,1.256
11230,2520,1.354
11240,2551,1.286
11250,2545,1.321
11260,2536,1.258
11270,2541,1.277
11280,2539,1.252
11290,2527,1.258
11300,2547,1.318
11310,2546,1.195
11320,2535,1.223
11330,2556,1.335
11340,2543,1.27
11350,2554,1.324
11360,2583,1.287
11370,2560,1.257
11380,2567,1.352
11390,2559,1.304
11400,2563,1.304
11410,2591,1.286
11420,2580,1.413
11430,2578,1.255
11440,2590,1.321
11450,2599,1.409
11460,2582,1.372
11470,2598,1.32
11480,2597,1.291
11490,2603,1.267
11500,2610,1.275
11510,2576,1.303
11520,2607,1.253
11530,2600,1.399
11540,2607,1.273
11550,2606,1.355
11560,2606,1.493
11570,2621,1.228
11580,2614,1.254
11590,2602,1.255
11600,2619,1.355
11610,2603,1.397
11620,2611,1.42
11630,2632,1.395
11640,2627,1.448
11650,2636,1.417
11660,2639,1.243
11670,2638,1.434
11680,2645,1.402
11690,2636,1.416
11700,2645,1.426
11710,2650,1.413
11720,2632,1.426
11730,2664,1.433
11740,2642,1.305
11750,2661,1.4
11760,2659,1.446
11770,2649,1.353
11780,2673,1.48
11790,2647,1.428
11800,2659,1.46
11810,2663,1.445
11820,2662,1.35
11830,2656,1.52
11840,2686,1.477
11850,2670,1.383
11860,2665,1.446
11870,2682,1.41
11880,2670,1.43
11890,2682,1.415
11900,2693,1.639
11910,2694,1.41
11920,2693,1.463
11930,2699,1.437
11940,2701,1.546
11950,2701,1.532
11960,2704,1.349
11970,2702,1.706
11980,2711,1.356
11990,2710,1.446
12000,2709,1.445
12010,2706,1.573
12020,2707,1.541
12030,2712,1.417
12040,2726,1.465
12050,2719,1.393
12060,2718,2.096
12070,2736,2.543
12080,2712,1.366
12090,2732,1.544
12100,2732,1.564
12110,2741,1.514
12120,2749,1.6
12130,2739,1.435
12140,2741,1.432
12150,2744,1.525
12160,2732,1.603
12170,2738,1.509
12180,2759,1.381
12190,2754,1.335
12200,2756,1.394
12210,2750,1.74
12220,2754,1.637
12230,2768,1.594
12240,2749,1.449
12250,2762,1.485
12260,2758,1.445
12270,2769,1.353
12280,2773,1.526
12290,2775,1.256
12300,2761,1.444
12310,2783,1.432
12320,2784,1.435
